"dataelementUID","period","orgUnitUID","categoryOptionComboUID","ImplementingMechanismUID","dataValue",,
"JxBTk0UYjjf","2017","yYUcfesOy2t","cYxMZbJKie1","NbvMUkJmS5N","122",,
"JxBTk0UYjjf","2017","yYUcfesOy2t","KLEhX0pJjLD","NbvMUkJmS5N","109",,
"JxBTk0UYjjf","2017","yYUcfesOy2t","p9ngKMI1HlP","NbvMUkJmS5N","178",,
"JxBTk0UYjjf","2017","yYUcfesOy2t","ICQVBpakGjE","NbvMUkJmS5N","95",,
"JxBTk0UYjjf","2017","yYUcfesOy2t","LXuJtbiUk7o","NbvMUkJmS5N","547",,
"JxBTk0UYjjf","2017","yYUcfesOy2t","R54ocOMuaZA","NbvMUkJmS5N","98",,
"JxBTk0UYjjf","2017","yYUcfesOy2t","CuAKN91lKD6","NbvMUkJmS5N","5193",,
"JxBTk0UYjjf","2017","yYUcfesOy2t","MEQrzTnlr9a","NbvMUkJmS5N","2371",,
"JxBTk0UYjjf","2017","yYUcfesOy2t","VVHFpTkvtp2","NbvMUkJmS5N","5193",,
"JxBTk0UYjjf","2017","yYUcfesOy2t","FtKeuScH4zG","NbvMUkJmS5N","2371",,
"JxBTk0UYjjf","2017","yYUcfesOy2t","BXVSBShabAV","NbvMUkJmS5N","5193",,
"JxBTk0UYjjf","2017","yYUcfesOy2t","fKutkl1woOh","NbvMUkJmS5N","2371",,
"JxBTk0UYjjf","2017","yYUcfesOy2t","wzERTiClETp","NbvMUkJmS5N","5193",,
"JxBTk0UYjjf","2017","yYUcfesOy2t","VJLbRW6R553","NbvMUkJmS5N","2371",,
"JxBTk0UYjjf","2017","yYUcfesOy2t","GWDE9M05Fyf","NbvMUkJmS5N","953",,
"JxBTk0UYjjf","2017","yYUcfesOy2t","yboc4U6mh3p","NbvMUkJmS5N","818",,
"bhZUgdZZHMq","2017","NkqwenLKRZh","Gm6B7Z9Tbxs","K0cWjvomIMf","1",,
"bhZUgdZZHMq","2017","NkqwenLKRZh","xP7pDf7Dsya","K0cWjvomIMf","15",,
"JxBTk0UYjjf","2017","NkqwenLKRZh","cYxMZbJKie1","K0cWjvomIMf","6",,
"JxBTk0UYjjf","2017","NkqwenLKRZh","KLEhX0pJjLD","K0cWjvomIMf","4",,
"JxBTk0UYjjf","2017","NkqwenLKRZh","p9ngKMI1HlP","K0cWjvomIMf","7",,
"JxBTk0UYjjf","2017","NkqwenLKRZh","ICQVBpakGjE","K0cWjvomIMf","4",,
"JxBTk0UYjjf","2017","NkqwenLKRZh","LXuJtbiUk7o","K0cWjvomIMf","21",,
"JxBTk0UYjjf","2017","NkqwenLKRZh","R54ocOMuaZA","K0cWjvomIMf","4",,
"JxBTk0UYjjf","2017","NkqwenLKRZh","CuAKN91lKD6","K0cWjvomIMf","199",,
"JxBTk0UYjjf","2017","NkqwenLKRZh","MEQrzTnlr9a","K0cWjvomIMf","91",,
"JxBTk0UYjjf","2017","NkqwenLKRZh","VVHFpTkvtp2","K0cWjvomIMf","199",,
"JxBTk0UYjjf","2017","NkqwenLKRZh","FtKeuScH4zG","K0cWjvomIMf","91",,
"JxBTk0UYjjf","2017","NkqwenLKRZh","BXVSBShabAV","K0cWjvomIMf","199",,
"JxBTk0UYjjf","2017","NkqwenLKRZh","fKutkl1woOh","K0cWjvomIMf","91",,
"JxBTk0UYjjf","2017","NkqwenLKRZh","wzERTiClETp","K0cWjvomIMf","199",,
"JxBTk0UYjjf","2017","NkqwenLKRZh","VJLbRW6R553","K0cWjvomIMf","91",,
"JxBTk0UYjjf","2017","NkqwenLKRZh","GWDE9M05Fyf","K0cWjvomIMf","37",,
"JxBTk0UYjjf","2017","NkqwenLKRZh","yboc4U6mh3p","K0cWjvomIMf","30",,
"bhZUgdZZHMq","2017","AHVXluh93vZ","Gm6B7Z9Tbxs","NbvMUkJmS5N","1",,
"bhZUgdZZHMq","2017","AHVXluh93vZ","xP7pDf7Dsya","NbvMUkJmS5N","16",,
"JxBTk0UYjjf","2017","AHVXluh93vZ","cYxMZbJKie1","NbvMUkJmS5N","6",,
"JxBTk0UYjjf","2017","AHVXluh93vZ","KLEhX0pJjLD","NbvMUkJmS5N","6",,
"JxBTk0UYjjf","2017","AHVXluh93vZ","p9ngKMI1HlP","NbvMUkJmS5N","7",,
"JxBTk0UYjjf","2017","AHVXluh93vZ","ICQVBpakGjE","NbvMUkJmS5N","4",,
"JxBTk0UYjjf","2017","AHVXluh93vZ","LXuJtbiUk7o","NbvMUkJmS5N","21",,
"JxBTk0UYjjf","2017","AHVXluh93vZ","R54ocOMuaZA","NbvMUkJmS5N","4",,
"JxBTk0UYjjf","2017","AHVXluh93vZ","CuAKN91lKD6","NbvMUkJmS5N","198",,
"JxBTk0UYjjf","2017","AHVXluh93vZ","MEQrzTnlr9a","NbvMUkJmS5N","90",,
"JxBTk0UYjjf","2017","AHVXluh93vZ","VVHFpTkvtp2","NbvMUkJmS5N","198",,
"JxBTk0UYjjf","2017","AHVXluh93vZ","FtKeuScH4zG","NbvMUkJmS5N","90",,
"JxBTk0UYjjf","2017","AHVXluh93vZ","BXVSBShabAV","NbvMUkJmS5N","198",,
"JxBTk0UYjjf","2017","AHVXluh93vZ","fKutkl1woOh","NbvMUkJmS5N","90",,
"JxBTk0UYjjf","2017","AHVXluh93vZ","wzERTiClETp","NbvMUkJmS5N","198",,
"JxBTk0UYjjf","2017","AHVXluh93vZ","VJLbRW6R553","NbvMUkJmS5N","90",,
